scenario,year,gdp_growth,unemployment_rate,inflation_rate
Base,2026,0.025,0.04,0.021
Base,2027,0.027,0.039,0.02
Base,2028,0.028,0.038,0.019
Base,2029,0.03,0.037,0.018
Base,2030,0.03,0.037,0.018
Optimistic,2026,0.042,0.032,0.025
Optimistic,2027,0.045,0.029,0.023
Optimistic,2028,0.045,0.028,0.022
Optimistic,2029,0.04,0.028,0.021
Optimistic,2030,0.038,0.03,0.02
Pessimistic,2026,-0.015,0.065,0.045
Pessimistic,2027,-0.025,0.085,0.05
Pessimistic,2028,0.005,0.08,0.035
Pessimistic,2029,0.015,0.07,0.025
Pessimistic,2030,0.02,0.055,0.022
